English,Urdu
he cant sing well,وہ اچھی طرح گا سکتا ہے
i hate raccoons,میں ریکونز سے نفرت کرتا ہوں
this journey is quite arduous,یہ سفر کافی مشکل ہے
zain is boring,زین بورنگ ہے
the dog growled,کتا گڑگڑایا
zain likes singing,زین کو گانا پسند ہے
sweet dreams,سہانے خواب
zain is still alive,زین ابھی زندہ ہے
my whole body itches,میرا پورا جسم اچچ تا ہے
stop that,روکو اسے
who let you in here,جو آپ کو یہاں میں جانے دیتے ہیں
zains shy,زین شرمیلے
its kind of funny,اس کی طرح مضحکہ خیز
that would be ideal for me,یہ میرے لئے مثالی ہوگا
what do you see,آپ کیا دیکھتے ہیں؟
i give you my word,میں نے آپ کو اپنا لفظ دیا
who wrote this,یہ کس نے لکھا
have him come,کیا وہ آیا ہے
zain panicked,زین گھبرا گیا
i must warn them,میں انہیں متنبہ کرنا چاہئے
i look up to you,میں آپ کی طرف دیکھتا ہوں
are we done,کیا ہم نے کیا
its the cops,یہ پولیس ہے
she does not smile for me anymore,وہ اب میرے لئے مسکراتی نہیں ہے
come back soon,جلد واپس آو
we have enough food,ہمارے پاس کافی کھانا ہے
zain is a communist,زین ایک کمیونسٹ ہے
thats important,یہ اہم ہے
i am sleepy,مجھے نیند آ رہی ہے
i found out the truth,مجھے حقیقت کا پتہ چلا
i want zain fired,میں زین برطرف کرنا چاہتا ہوں
i have to hide,مجھے چھپانا ہے
step into the light,روشنی میں قدم رکھیں
lets split,تقسیم ہونے دیتا ہے
everything seemed ok,سب کچھ ٹھیک لگ رہا تھا
i am humming,میں گنگنا رہا ہوں
that was great,یہ بہت اچھا تھا
we agreed,ہم نے اتفاق کیا
zain is at his desk,زین اپنی میز پر ہے
they went away,وہ چلے گئے
zain will say yes,زین ہاں کہے گا
open your mouth,اپنا منہ کھولیں
dont die,مرنا نہیں
the old city is a delightful maze for the modernÂ tourist,پرانا شہر جدید سیاح کے لئے ایک خوشگوار بھول بھلیاں ہے
read the directions,ہدایات پڑھیں
i am used to waiting,میں انتظار کرنے کا عادی ہوں
i will have my revenge,میں اپنا بدلہ لوں گا
zains very effusive,زانوبہت ہی مکروہ
just leave zain alone,صرف زین کو اکیلا چھوڑ دیں
she stared at me,وہ مجھے گھورتی رہی
throw it to me,اسے میرے پاس پھینک دو
i am a policeman,میں ایک پولیس اہلکار ہوں
zain doesnt help me,زین میری مدد نہیں کرتا
look at your hands,اپنے ہاتھوں کو دیکھو
can you ride a horse,کیا آپ گھوڑے پر سوار ہو سکتے ہیں
zain fainted,زین بے ہوش ہو گیا
he is a healthy child,وہ ایک صحت مند بچہ ہے
no one reads my blog,کوئی بھی میرا بلاگ نہیں پڑھتا
does your mother know,کیا آپ کی ماں جانتی ہے
go inside,اندر جانا
you know your stuff,آپ کو اپنی چیزیں معلوم ہیں
thats the point,یہ بات ہے
i will teach you such a lesson as you will never forget,میں آپ کو ایسا سبق سکھادوں گا جیسا کہ آپ کبھی نہیں بھولیں گے
zain giggled,زین ہنس نے لگا
zain isnt the enemy,زین دشمن نہیں ہے
zain isnt in,زین میں نہیں ہے
zain looks pleased,زین خوش نظر آتا ہے
her face lit up,اس کا چہرہ روشن ہو گیا
why cant zain come,کیوں نہیں زین آسکتا ہے
he is not a physician,وہ ایک معالج نہیں ہے
i believe in miracles,میں معجزوں پر یقین رکھتا ہوں
everybody knows that,ہر کوئی جانتا ہے کہ
how do parents do it,والدین یہ کیسے کرتے ہیں
forget tom,ٹام کو بھول جاؤ
consider it done,غور کریں کہ یہ کیا گیا ہے
i need to warn my mom,میں نے اپنی ماں کو متنبہ کرنے کی ضرورت ہے
i like noodles,مجھے نوڈلز پسند ہیں
i am divorced,میں طلاق یافتہ ہوں
zain sold his company,زین نے اپنی کمپنی فروخت کر دی
it was really scary,یہ واقعی خوفناک تھا
does it hurt a lot,کیا اس سے بہت تکلیف ہوتی ہے
he is very flexible,وہ بہت لچکدار ہے
zain wears a wig,زین ایک وگ پہنتا ہے
thatll be fun,کہ مزہ آئے گا
better him than me,وہ مجھ سے بہتر
why is he doing this,وہ ایسا کیوں کر رہا ہے
how long can you stay,آپ کب تک رہ سکتے ہیں
zain has short legs,زین کی ٹانگیں چھوٹی ہوتی ہیں
thats hers,یہ اس کی ہے
i can do it by myself,میں خود کر سکتا ہوں
what are my choices,میرے انتخاب کیا ہیں
he has a loud voice,اس کی آواز بلند ہے
he is up to date,وہ اپ ٹو ڈیٹ ہے
i am sorry. i am not from here,میں معافی چاہتا ہوں۔ میں یہاں اجنبی ہوں۔
hold firmly,مضبوطی سے پکڑنا
thats good to know,یہ جاننا اچھا ہے
they are cold,وہ ٹھنڈے ہیں
zain cleaned the room,زین نے کمرے کی صفائی کی
are you having fun,کیا آپ تفریح کر رہے ہیں
i was up all night,میں ساری رات اٹھ رہا تھا
he avenged his father,اس نے اپنے والد سے بدلہ لیا
its nice and cool,یہ اچھا اور ٹھنڈا
i am leaving at four,میں چار بجے جا رہا ہوں
she works very hard,وہ بہت محنت کرتی ہے
i am almost done,میں تقریبا مکمل ہو گیا ہوں
he may we will be right,وہ ہم صحیح ہو جائے گا
many lives were lost,بہت سی جانیں ضائع ہو گئیں۔
the dog is bleeding,کتے کا خون بہہ رہا ہے
he can run fast,وہ تیزی سے دوڑ سکتا ہے
why cant i go,میں کیوں نہیں جا سکتا
everyone hates me,ہر کوئی مجھ سے نفرت کرتا ہے
zain is our guide,زین ہمارا رہنما ہے
i must hurry,مجھے جلدی کرنی چاہئے
turn on the radio,ریڈیو آن کریں
thats his business,یہ اس کا کاروبار ہے
i wont lie to you,میں تم سے جھوٹ نہیں بولوں گا
button up your shirt,اپنی قمیض کو بٹن اپ کریں
i love listening to music,مجھے موسیقی سننا پسند ہے
i dislike eggs,مجھے انڈے پسند نہیں
i dropped my keys,میں نے اپنی چابیاں گرا دیں
i have been to the mall,میں مال گیا ہوں
whos that girl,वह लड़की कौन है?
he walks fast,وہ تیزی سے چلتا ہے
everyones going,ہر کوئی جا رہا ہے
i put on my trousers,میں نے اپنی پتلون پہن لی
would you like to order anything else,کیا آپ کچھ اور آرڈر کرنا چاہیں گے
zain started to cry,زین رونے لگا
i wont sell my soul,میں اپنی روح کو فروخت نہیں کروں گا
let me take it back for you,میں آپ کے لئے اسے واپس لے دو
my grandfather likes reading books,میرے دادا ابو کو کتابیں پڑھنے کا شوق ہے۔
i like milk and bread,مجھے دودھ اور روٹی پسند ہے
zain drives a toyota,زین ایک ٹویوٹا چلاتا ہے
i donâ€™t know how to use it,میں اسے استعمال کرنا نہیں جانتا
try and do it,کوشش کریں اور یہ کریں
zain resigned today,زین نے آج استعفیٰ دے دیا
i am not quite sure,مجھے پورا یقین نہیں ہے
i can prove it,میں یہ ثابت کر سکتا ہوں
all right i will do it,ٹھیک ہے میں یہ کروں گا
is santa claus real,سانتا کلاز اصلی ہے
she is a pianist,وہ ایک پیانوسٹ ہے
i cant do it now,میں اب یہ نہیں کر سکتا
i hate zains parents,میں زین والدین سے نفرت کرتا ہوں
it looked cheap,وہ سستا لگتا تھا۔
i like you a lot,میں آپ کو بہت پسند کرتا ہوں
i lost my key,میں نے اپنی چابی کھو دی
may we swim here,ہم یہاں تیریں
he slipped me a note,اس نے مجھے ایک نوٹ پھسلا دیا
give me spoon,مجھے چمچ دے دو
i am now unarmed,میں اب غیر مسلح ہوں
dont expect too much,بہت زیادہ توقع نہ کریں
zain likes brunettes,زین سیاہ فاموں کو پسند کرتا ہے
he talks fast,وہ تیزی سے بات کرتا ہے
were grateful,شکر گزار تھے
thanks for your help,آپ کی مدد کے لئے شکریہ
i can sing,میں گا سکتا ہوں
it would be perfect,یہ کامل ہو جائے گا
nothings going on,کچھ بھی نہیں چل رہا ہے
these are my pencils,یہ میری پنسلیں ہیں
you turn,آپ مڑیں
the dog barked at me,کتا مجھ پر بھونکتا تھا
its perfectly legal,اس کی مکمل قانونی
would you like any coffee or dessert,کیا آپ کوئی کافی یا میٹھا پسند کریں گے
i do not mind working on weekends,مجھے ہفتے کے آخر میں کام کرنے میں کوئی اعتراض نہیں ہے
who wrote the bible,بائبل کس نے لکھی؟
i didnt like it much,مجھے یہ زیادہ پسند نہیں آیا
i never said that,میں نے یہ کبھی نہیں کہا
you mean a lot to me,تم میرے لئے بہت معنی رکھتے ہیں
zain went bonkers,زین بانکر ہو گیا
zain seems serious,زین سنجیدہ لگتا ہے
who is that man,وہ آدمی کون ہے
here is the car,یہاں کار ہے
zain looks pale,زین پیلا نظر آتا ہے
my sweater is purple,میرا سویٹر جامنی ہے
i wont tell anyone,میں کسی کو نہیں بتاؤں گا
i can't wait any longer now,میں اب مزید انتظار نہیں کر سکتا
she understands him,وہ اسے سمجھتی ہے
he gets up early every day,وہ ہر روز جلدی اٹھتا ہے
that cannot be true,یہ سچ نہیں ہو سکتا
zain shouts a lot,زین بہت چلاتا ہے
do you fish,کیا آپ مچھلی اں پکڑتے ہیں
it cant be tom,یہ ٹام نہیں ہو سکتا
he should have been a lawyer,اسے وکیل ہونا چاہئیے تھا۔
you have a good plan,آپ کے پاس ایک اچھا منصوبہ ہے
were not married,شادی شدہ نہیں تھے
who designed that museum,وہ عجائب گھر کس نے ڈیزائن کیا ہے؟
i got my shoes wet,میں نے اپنے جوتے گیلے ہو گئے
did zain find it,کیا زین نے اسے ڈھونڈ ا
who bought this,یہ کس نے خریدا
i killed them both,میں نے ان دونوں کو قتل کر دیا
the gate is open now,گیٹ اب کھلا ہے
i got it for nothing,میں نے یہ کچھ بھی نہیں کے لئے مل گیا
thats an exception,یہ ایک استثنیٰ ہے
i am thirty now,میں اب تیس سال کا ہوں
i go every year,میں ہر سال جاتا ہوں
dinner is ready,رات کا کھانا تیار ہے
i hit on a good idea,میں نے ایک اچھا خیال پر مارا
that car is hers,وہ گاڑی اس کی ہے
did someone die,کیا کسی کی موت ہوئی
is he dead,کیا وہ مر چکا ہے
i am curious,میں متجسس ہوں
its all over for us,یہ ہمارے لئے سب کچھ ختم ہو گیا
zain never lies,زین کبھی جھوٹ نہیں بولتا
he is playing music,وہ موسیقی بجا رہا ہے
you are unlucky,آپ بدقسمت ہیں
i am on the way home,میں گھر کے راستے پر ہوں
i am ashamed,میں شرمندہ ہوں
you are a good cook,آپ ایک اچھے باورچی ہیں
i am a housewife,میں ایک گھریلو خاتون ہوں
his name eludes me,اس کا نام مجھ سے بچ جاتا ہے
i wanted to go home,میں گھر جانا چاہتا تھا
zain wont approve,زین منظور نہیں
it fell to pieces,یہ ٹکڑے ٹکڑے ہو گیا
whos thirsty,کون پیاسا ہے
fire burns,آگ جلتی ہے
zain isnt breathing,زین سانس نہیں لے رہا ہے
